GHI (kWh/m²/day),DNI (kWh/m²/day),DHI (% of GHI),Snowfall (mm/year),Quarter1-Cloud cover,Quarter1-Sunshine duration,Quarter1-Ambient temperature,Quarter1-Relative humidity,Quarter1-Precipitation,Quarter2-Cloud cover,Quarter2-Sunshine duration,Quarter2-Ambient temperature,Quarter2-Relative humidity,Quarter2-Precipitation,Quarter3-Cloud cover,Quarter3-Sunshine duration,Quarter3-Ambient temperature,Quarter3-Relative humidity,Quarter3-Precipitation,Quarter4-Cloud cover,Quarter4-Sunshine duration,Quarter4-Ambient temperature,Quarter4-Relative humidity,Quarter4-Precipitation,YearlyCloud cover,Sunshine duration,Ambient temperature,Relative humidity,Precipitation,Label (Yes/No)
2.678,2.057,43.1,495.8,64.65,3.71,29.7,76.42,595.67,65.73,5.13,30.74,94.79,449.88,51.73,5.1,14.34,75.39,409.46,75.83,0.9,23.33,91.82,575.65,64.48,3.71,24.53,84.6,2030.66,No
5.109,4.428,23.73,70.5,13.41,9.9,28.07,67.81,1.13,19.92,11.57,33.64,56.03,287.16,13.66,9.08,19.63,29.06,303.86,15.4,8.81,33.77,29.29,366.75,15.6,9.84,28.78,45.55,958.9,Yes
3.073,2.358,40.01,323.2,91.96,4.58,0.93,77.37,385.0,50.4,1.35,34.97,97.14,521.91,78.16,4.24,42.65,97.39,396.45,62.41,0.29,25.83,91.31,490.61,70.73,2.62,26.1,90.8,1793.97,No
5.362,4.829,16.75,76.8,26.0,9.04,27.89,65.48,265.33,11.82,11.03,34.79,43.62,363.6,31.89,8.76,21.63,52.88,86.18,14.2,6.16,20.85,39.79,207.03,20.98,8.75,26.29,50.44,922.14,Yes
1.504,3.748,35.02,203.1,91.02,1.67,27.88,94.65,672.18,89.1,0.53,-1.01,79.2,388.48,75.02,2.37,22.85,78.96,557.16,66.74,1.17,27.47,90.2,685.96,80.47,1.44,19.3,85.75,2303.78,No
2.849,3.394,25.25,298.7,86.87,4.7,2.9,82.57,532.15,55.18,2.66,35.35,79.01,537.22,98.05,0.19,24.58,92.3,660.33,85.8,4.36,-2.05,86.02,668.61,81.48,2.98,15.2,84.98,2398.31,No
6.457,6.087,19.8,87.9,23.91,10.71,19.47,58.62,171.17,14.3,7.64,23.05,57.46,27.37,36.38,10.3,28.08,58.03,66.81,33.48,11.65,27.22,50.57,276.16,27.02,10.08,24.46,56.17,541.51,Yes
1.996,3.687,44.56,118.4,94.54,2.09,12.11,89.3,622.99,67.67,0.86,22.61,88.76,697.58,74.22,3.87,-2.28,96.84,497.71,81.61,5.5,35.53,89.13,638.85,79.51,3.08,16.99,91.01,2457.13,No
4.884,4.592,22.81,27.5,42.9,8.54,28.35,24.78,233.95,28.07,9.52,18.36,56.84,323.55,18.67,6.57,15.47,52.1,227.66,31.87,7.39,22.82,49.72,186.29,30.38,8.0,21.25,45.86,971.45,Yes
2.476,3.535,25.36,189.6,85.29,2.43,11.51,96.17,719.0,97.4,1.64,40.63,92.11,432.83,80.51,0.16,30.42,92.01,671.0,58.63,3.77,3.94,98.4,628.13,80.46,2.0,21.62,94.67,2450.96,No
5.857,5.064,18.46,37.1,49.51,6.24,32.34,48.93,164.48,39.01,8.92,32.47,65.04,158.15,21.07,9.55,33.25,30.53,233.61,35.26,10.4,17.63,55.79,340.89,36.21,8.78,28.92,50.07,897.13,Yes
3.758,1.775,54.51,135.4,51.25,1.41,11.65,88.8,424.4,71.87,1.23,37.77,71.35,508.48,81.57,5.48,38.4,96.86,398.57,92.05,4.68,40.12,79.35,716.91,74.18,3.2,31.98,84.09,2048.36,No
2.459,3.078,52.27,257.1,58.09,2.6,33.59,93.42,461.45,58.75,5.52,-2.8,92.04,392.41,91.9,5.43,9.87,72.22,555.26,64.92,2.5,28.25,76.29,508.86,68.42,4.01,17.23,83.49,1917.98,No
6.361,4.048,24.65,14.9,42.78,7.66,22.01,30.84,219.57,23.92,9.94,15.31,23.22,37.37,26.76,10.89,32.76,32.24,215.39,40.73,7.73,23.18,46.2,50.58,33.55,9.06,23.32,33.12,522.91,Yes
4.822,5.801,21.44,33.3,40.19,9.89,27.75,47.67,4.27,37.86,8.26,33.85,60.9,220.39,20.09,7.22,21.81,43.83,111.02,30.6,6.99,34.55,25.4,349.48,32.18,8.09,29.49,44.45,685.16,Yes
5.334,5.491,18.66,80.7,30.93,6.7,17.58,46.84,351.21,22.33,11.22,30.28,32.39,13.63,14.07,10.37,18.99,38.56,188.14,39.02,6.68,23.13,44.25,202.81,26.59,8.74,22.49,40.51,755.79,Yes
5.187,6.328,18.95,42.8,33.14,8.78,18.37,20.93,228.68,46.83,6.64,19.22,38.51,303.28,20.77,11.29,16.1,67.05,210.28,36.35,8.21,30.64,28.33,18.34,34.27,8.73,21.08,38.7,760.58,Yes
4.782,4.678,20.98,86.6,47.87,6.64,18.1,67.24,276.2,45.32,7.22,26.75,55.06,255.04,26.33,6.09,26.66,32.66,168.85,48.3,8.39,31.8,29.43,252.17,41.96,7.08,25.83,46.1,952.26,Yes
2.686,3.631,48.08,412.7,55.78,0.3,-3.57,74.42,625.13,74.7,4.51,4.59,81.01,708.19,96.79,5.53,35.92,90.65,717.63,85.71,5.72,-3.76,97.65,583.4,78.24,4.01,8.3,85.93,2634.35,No
3.84,2.37,37.45,395.3,76.53,2.57,35.69,96.73,596.47,59.26,2.8,20.22,82.97,473.41,73.62,2.68,5.47,97.1,707.0,87.98,2.41,13.52,91.49,603.04,74.35,2.62,18.72,92.07,2379.92,No
5.438,5.127,20.64,15.7,44.25,11.46,23.99,34.02,52.81,37.35,7.87,33.19,53.55,242.13,32.38,6.27,33.64,51.4,372.77,31.49,10.26,16.12,51.59,286.74,36.37,8.96,26.74,47.64,954.45,Yes
3.434,1.878,29.63,456.3,94.89,2.8,38.51,90.02,444.38,66.45,0.82,33.7,99.56,579.89,82.79,4.48,6.21,80.08,529.62,79.73,5.1,7.71,84.13,656.83,80.96,3.3,21.53,88.45,2210.72,No
2.036,3.758,36.53,494.2,52.31,2.98,11.25,99.88,746.26,61.76,1.6,32.48,96.69,623.89,93.24,0.38,27.03,91.01,446.37,88.9,5.67,39.9,77.35,496.5,74.05,2.66,27.66,91.23,2313.02,No
2.547,3.58,28.17,241.7,97.6,4.19,32.75,92.73,397.71,60.16,2.95,13.41,82.33,668.04,50.73,3.96,-4.99,71.89,528.11,92.05,0.87,22.73,90.36,461.07,75.13,2.99,15.97,84.33,2054.93,No
3.405,2.347,25.67,355.7,99.35,4.24,-0.81,82.07,415.94,95.61,1.98,31.67,72.54,423.16,83.97,5.06,5.07,82.55,607.28,89.81,3.77,-0.23,86.28,706.73,92.18,3.76,8.93,80.86,2153.11,No
4.766,5.972,19.46,79.8,42.9,11.15,33.33,41.55,119.58,33.29,8.23,27.02,55.28,258.15,24.98,7.0,23.61,27.13,333.79,23.84,6.93,15.51,52.29,238.84,31.25,8.33,24.87,44.06,950.36,Yes
2.134,2.457,30.08,235.1,84.22,4.99,11.63,77.01,687.24,94.54,2.46,-3.65,90.85,669.01,50.9,3.57,24.42,81.36,656.16,71.41,4.06,20.86,77.45,602.44,75.27,3.77,13.32,81.67,2614.85,No
4.456,6.102,18.95,89.9,20.43,8.36,25.1,64.63,325.78,32.97,7.33,23.07,68.78,227.91,41.24,8.7,25.64,41.45,263.6,44.06,9.04,24.62,37.01,66.41,34.67,8.36,24.61,52.97,883.7,Yes
4.338,4.357,22.55,72.1,25.12,6.46,15.24,34.41,3.46,19.2,8.52,17.43,25.21,336.16,33.42,11.61,21.92,53.86,76.76,34.73,6.78,15.04,66.58,208.09,28.12,8.34,17.41,45.02,624.47,Yes
4.722,5.453,16.54,48.1,31.3,6.31,21.73,26.72,23.77,49.6,7.93,31.2,32.73,255.56,40.41,9.57,24.43,40.59,130.83,47.18,10.98,34.3,26.21,274.08,42.12,8.7,27.92,31.56,684.24,Yes
5.536,4.07,24.32,52.3,11.73,8.05,16.54,39.65,251.22,28.8,8.3,17.38,32.25,37.55,42.3,6.81,26.91,37.14,84.74,35.58,8.74,23.0,49.64,184.23,29.6,7.98,20.96,39.67,557.74,Yes
4.523,4.78,16.16,45.7,49.37,9.09,29.84,54.15,318.72,18.63,10.52,32.63,28.58,130.05,48.8,10.68,20.65,48.2,151.62,29.6,8.13,20.59,53.74,291.95,36.6,9.6,25.93,46.17,892.34,Yes
