Slope,Elevation,TurbulenceIntensity,Quarter1-AirTemperature,Quarter1-RelativeHumidity,Quarter1-Precipitation,Quarter1-WindSpeed,Quarter1-WindGustSpeed,Quarter1-AirPressure,Quarter2-AirTemperature,Quarter2-RelativeHumidity,Quarter2-Precipitation,Quarter2-WindSpeed,Quarter2-WindGustSpeed,Quarter2-AirPressure,Quarter3-AirTemperature,Quarter3-RelativeHumidity,Quarter3-Precipitation,Quarter3-WindSpeed,Quarter3-WindGustSpeed,Quarter3-AirPressure,Quarter4-AirTemperature,Quarter4-RelativeHumidity,Quarter4-Precipitation,Quarter4-WindSpeed,Quarter4-WindGustSpeed,Quarter4-AirPressure,Yearly-AirTemperature,Yearly-RelativeHumidity,Yearly-Precipitation,Yearly-WindSpeed,Yearly-WindGustSpeed,Yearly-AirPressure,Label
5.93,1195.46,10.3,-39.27,169.08,2196.63,1.14,34.95,946.47,-32.05,147.65,3051.81,1.27,6.65,942.89,47.28,94.28,2898.85,0.6,25.64,946.61,46.52,125.74,2286.62,1.87,2.14,1059.47,-32.09,153.7,2663.69,1.43,17.68,1051.35,No
22.55,2831.83,31.79,-12.97,36.82,537.15,4.68,81.72,983.86,-8.23,54.6,1465.11,5.9,72.97,1003.64,-16.4,33.7,502.41,5.58,50.49,962.71,6.3,7.38,1225.7,4.76,84.98,952.46,14.6,67.01,889.6,6.49,84.55,985.93,Yes
8.39,1473.46,17.71,43.95,143.11,3013.16,0.22,27.13,947.98,-37.03,168.16,3536.46,3.12,33.06,1055.21,-37.22,179.22,2192.87,0.01,33.57,944.3,-33.98,128.34,3013.35,0.23,47.82,1053.41,48.03,142.18,2203.68,1.3,40.97,940.8,No
21.57,2211.92,39.59,27.51,20.06,1956.34,4.42,57.72,955.86,39.7,58.79,955.99,4.94,92.91,984.33,19.9,50.07,1424.87,7.6,84.22,996.05,35.59,50.56,1282.76,5.72,77.59,985.22,21.34,38.3,612.63,4.1,68.61,1046.6,Yes
14.4,909.51,14.05,-35.71,116.67,2844.7,3.37,18.86,948.42,-32.48,166.4,3495.93,0.79,0.81,940.61,-33.21,155.48,2026.82,2.07,49.36,1058.77,-37.46,92.95,2002.66,0.52,41.56,945.52,47.58,147.85,3627.4,0.35,11.1,947.38,No
10.93,576.04,9.16,-35.86,95.65,3085.57,2.18,39.44,943.5,-35.5,152.94,3720.15,3.18,31.67,940.34,43.23,155.84,3713.61,2.17,41.25,944.98,44.02,126.55,2204.29,2.24,19.55,1059.28,44.97,146.74,2742.29,2.41,24.17,1051.58,No
15.44,1884.92,36.43,37.2,17.49,1447.5,7.81,87.41,963.7,18.11,8.37,958.19,6.2,54.55,1044.72,6.88,40.98,360,4.17,81.39,1035.25,14.39,60.81,167.61,7.11,75.77,996.06,33.29,72.45,410.42,5.78,50.93,1004.41,Yes
9.21,21.26,3.47,44.9,94.56,2903.98,2.89,41.96,1055.28,48.86,105.59,2885.96,2.38,15.9,1058.56,42.63,113.74,3932.31,1.88,48.97,942.84,-39.29,169.97,2830.79,2.68,2.58,1056.69,-39.75,126.63,3802.37,0.94,37.72,1051.08,No
29.1,1617.84,22.65,21.15,80.35,547.81,4.25,65.98,1045.35,5.35,39.79,1467.17,4.36,69.4,964,36.27,72.98,86.68,4.01,70.27,1012.61,14.93,53.34,368.86,6.84,59.61,996.04,-15.86,21.78,842.23,6.78,67.66,1036.03,Yes
3.74,546.87,1.49,47.42,176.79,2828.98,2.24,13.9,944.62,41.94,123.89,2708.44,1.74,4.95,1059.57,-36.88,106.73,3330.72,2.83,28.72,948.12,43.84,153.66,2412.34,0.61,18.09,1053.58,47.69,91.19,3705.31,0.25,25.49,946.2,No
